match_sk,match_id,team1,team2,match_date,season_year,venue_name,city_name,country_name,toss_winner,match_winner,toss_name,win_type,outcome_type,manofmach,win_margin,country_id,match_date_cleaned
184,501212,Pune Warriors,Kochi Tuskers Kerala,4/13/2011,2011,Dr Dy Patil Sports Academy,Mumbai,India,Kochi Tuskers Kerala,Pune Warriors,Bat,Wickets,Result,Md Mishra,4,1,2011-04-13
185,501213,Deccan Chargers,Royal Challengers Bangalore,4/14/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Royal Challengers Bangalore,Deccan Chargers,Field,Runs,Result,Dw Steyn,33,1,2011-04-14
186,501214,Rajasthan Royals,Kolkata Knight Riders,4/15/2011,2011,Sawai Mansingh Stadium,Jaipur,India,Kolkata Knight Riders,Kolkata Knight Riders,Field,Wickets,Result,G Gambhir,9,1,2011-04-15
187,501215,Mumbai Indians,Kochi Tuskers Kerala,4/15/2011,2011,Wankhede Stadium,Mumbai,India,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Field,Wickets,Result,Bb Mccullum,8,1,2011-04-15
188,501216,Chennai Super Kings,Royal Challengers Bangalore,4/16/2011,2011,"Ma Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,Bat,Runs,Result,Mek Hussey,21,1,2011-04-16
189,501217,Deccan Chargers,Kings Xi Punjab,4/16/2011,2011,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Kings Xi Punjab,Kings Xi Punjab,Field,Wickets,Result,Pc Valthaty,8,1,2011-04-16
190,501218,Pune Warriors,Delhi Daredevils,4/17/2011,2011,Dr Dy Patil Sports Academy,Mumbai,India,Delhi Daredevils,Delhi Daredevils,Field,Wickets,Result,Yuvraj Singh,3,1,2011-04-17
191,501219,Kolkata Knight Riders,Rajasthan Royals,4/17/2011,2011,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,Field,Wickets,Result,L Balaji,8,1,2011-04-17
192,501220,Kochi Tuskers Kerala,Chennai Super Kings,4/18/2011,2011,Nehru Stadium,Kochi,India,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Field,Wickets,Result,Bb Mccullum,7,1,2011-04-18
193,501221,Delhi Daredevils,Deccan Chargers,4/19/2011,2011,Feroz Shah Kotla,Delhi,India,Deccan Chargers,Deccan Chargers,Bat,Runs,Result,S Sohal,16,1,2011-04-19
194,501223,Mumbai Indians,Pune Warriors,4/20/2011,2011,Wankhede Stadium,Mumbai,India,Pune Warriors,Mumbai Indians,Bat,Wickets,Result,Mm Patel,7,1,2011-04-20
195,501224,Kolkata Knight Riders,Kochi Tuskers Kerala,4/20/2011,2011,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kochi Tuskers Kerala,Field,Runs,Result,Dpmd Jayawardene,6,1,2011-04-20
196,501225,Kings Xi Punjab,Rajasthan Royals,4/21/2011,2011,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Rajasthan Royals,Kings Xi Punjab,Field,Runs,Result,Se Marsh,48,1,2011-04-21
197,501226,Mumbai Indians,Chennai Super Kings,4/22/2011,2011,Wankhede Stadium,Mumbai,India,Chennai Super Kings,Mumbai Indians,Field,Runs,Result,Harbhajan Singh,8,1,2011-04-22
